Customer Name,Customer #,Invoice #,Invoice Amount,Due Date,Predicted Payment Date
WAL-MAR associates,200769623,1930603202,41652.71,2020-03-20,2020-03-21
SA in,200759878,1930687094,25237.69,2020-04-06,2020-04-07
WAL-MAR corporation,200769623,1930723124,10008.6,2020-04-14,2020-04-15
NATURA associates,100030964,1930747362,3699.75,2020-04-19,2020-04-20
WAL-MAR corp,200769623,1930799507,28171.92,2020-05-03,2020-05-04
WAL-MAR corporation,200769623,1930699714,10374.05,2020-04-10,2020-04-11
PERFOR,200722444,1930764842,7931.16,2020-05-16,2020-05-17
D'ALB,140103470,1991842314,18835.9,2020-05-13,2020-05-15
BJ'S  in,200726979,1930817511,194.22,2020-05-08,2020-05-09
PUBLI co,200707822,1930710154,21062.03,2020-04-11,2020-04-12
SAPUTO  llc,140105678,2960619562,17412.55,2020-03-27,2020-03-29
WINC associates,200706844,1930552350,3983.54,2020-03-13,2020-03-14
INGL corp,200759082,1930690376,10838.98,2020-05-27,2020-05-28
ASSOCI corp,200755701,1930747284,23081.76,2020-04-20,2020-04-21
US  foundation,200357714,1930843043,10752.31,2020-05-15,2020-05-16
WAL-MAR associates,200769623,1930823095,18458.82,2020-05-10,2020-05-11
WESTI corporation,100033439,1930802347,40007,2020-05-02,2020-05-03
LOB associates,140104409,2960633140,63327.58,2020-05-24,2020-05-26
WINC associates,200706844,1930703403,27788.54,2020-04-09,2020-04-10
WAL-MAR corp,200769623,1930847498,25063.43,2020-05-17,2020-05-18
LOB corporation,140104409,2960632875,60321.83,2020-05-20,2020-05-22
US,200793000,1930629890,41974.14,2020-03-25,2020-03-26
LAWL foundation,200396637,1930633684,52901.64,2020-04-08,2020-04-09
UNIFIE,200792293,1930635279,120747.24,2020-03-26,2020-03-27
BOZZU corp,200779906,1930594504,6.54,2020-03-18,2020-03-16
WAL-MAR systems,200769623,1930757206,30968.31,2020-04-21,2020-04-22
WAL-MAR llc,200769623,1930810110,1322.22,2020-05-07,2020-05-08
DECA llc,200230690,1930674755,22009.39,2020-03-26,2020-04-23
BE,200806580,1930817797,5649.6,2020-05-09,2020-05-10
KROG corp,200029010,1930794348,13600.21,2020-05-01,2020-05-02
SA co,200759878,1930781280,26653.6,2020-04-29,2020-04-30
BJ'S  trust,200726979,1930629489,600.55,2020-03-23,2020-03-24
WAL-MAR corp,200769623,1930594654,5964.71,2020-03-19,2020-03-20
WAL-MAR corporation,200769623,1930724596,1356.36,2020-04-16,2020-04-17
DEC,200416837,1930676090,288,2020-04-08,2020-05-06
WAL-MAR corp,200769623,1930592975,8511.13,2020-03-19,2020-03-20
TARG corp,200744019,1930859611,22017.02,2020-05-20,2020-05-21
H T H co,200078795,1930764159,852.87,2020-04-23,2020-04-24
KROGE in,200519201,1930722832,45114.77,2020-04-14,2020-04-15
WAL-MAR us,200769623,1930683498,29866.59,2020-04-07,2020-04-08
WAL-MAR us,200769623,1930583281,50880.33,2020-03-15,2020-03-16
WAL-MAR foundation,200769623,1930577169,1898.2,2020-03-15,2020-03-16
HOME R in,100043949,1930724615,16992.76,2020-04-18,2020-04-19
WAL-MAR co,200769623,1930862518,22747.45,2020-05-22,2020-05-23
COST associates,200794332,1930719402,80517.03,2020-04-15,2020-04-16
C&S WH associates,200762301,1930606205,8806.04,2020-03-21,2020-03-22
WAL-MAR in,200769623,1930747682,1608.08,2020-04-21,2020-04-22
ALBERT trust,200920735,1930737699,67154.32,2020-04-17,2020-04-18
WAL-MAR systems,200769623,1930687043,15469.88,2020-04-07,2020-04-08
SYSCO  corporation,200714710,1930842313,2653.72,2020-05-15,2020-05-16
